time,closed_price,scaled_volume_USDC,scaled_volume_WETH
2022-05-03 05:00:00,2847.8870197453584,1.3843501464671894e-13,5.3850319983873434e-17
2022-05-03 06:00:00,2842.595003940949,2.4999204052259434e-13,1.0571489858341615e-16
2022-05-03 07:00:00,2839.737899711921,1.6068031156768973e-13,6.602973064694924e-17
2022-05-03 08:00:00,2842.2512145220508,2.091285014272679e-13,6.53666177882271e-17
2022-05-03 09:00:00,2845.6097054674956,1.2075076287270909e-13,3.2792962299982045e-17
2022-05-03 10:00:00,2833.013324606746,6.448479586175461e-14,6.436928805505941e-17
2022-05-03 11:00:00,2830.6016780029545,1.0498319702271805e-13,4.51311519060225e-17
2022-05-03 12:00:00,2846.3559350271235,2.79025296681056e-13,4.631413161835596e-17
2022-05-03 13:00:00,2839.9584841126552,1.2062480296181713e-13,6.351676550460366e-17
2022-05-03 14:00:00,2832.887443167004,3.419998490911396e-13,1.4480373132795008e-16
2022-05-03 15:00:00,2822.638954723433,2.814425892288229e-13,1.337207533252238e-16
2022-05-03 16:00:00,2822.351516008345,2.5614161779449323e-13,9.101867732782193e-17
2022-05-03 17:00:00,2806.872338215001,3.6770987905640334e-13,1.812038278807503e-16
2022-05-03 18:00:00,2799.775778810896,2.556891549630568e-13,1.1550527531861514e-16
2022-05-03 19:00:00,2782.54161215388,5.049939877853965e-13,2.427673521335824e-16
2022-05-03 20:00:00,2773.4661965571995,4.1196919811070146e-13,1.8335288737758763e-16
2022-05-03 21:00:00,2780.279979099783,4.027910564761574e-13,1.2686311418661234e-16
2022-05-03 22:00:00,2786.082646299534,4.640168415297699e-13,1.506573223455703e-16
2022-05-03 23:00:00,2784.78608068217,2.1796991493826019e-13,8.297262415962848e-17
2022-05-04 00:00:00,2781.879345341739,1.6220376995927465e-13,6.978720409065906e-17
2022-05-04 01:00:00,2792.41968942194,2.380913375285646e-13,5.985910375620406e-17
2022-05-04 02:00:00,2787.807608381652,5.644640000458788e-14,3.608146118005064e-17
2022-05-04 03:00:00,2793.539686832233,2.481844207320861e-13,6.74243659189882e-17
2022-05-04 04:00:00,2797.9355639737487,8.726249730795869e-14,1.5952626535459987e-17
2022-05-04 05:00:00,2794.7759924302254,1.192286034320342e-13,5.258475841039413e-17
2022-05-04 06:00:00,2793.8943795571045,1.082456822104243e-13,4.1480736180962685e-17
2022-05-04 07:00:00,2816.013667350366,2.6651197238142116e-13,1.9653346903907803e-17
2022-05-04 08:00:00,2828.3092424180977,2.707854506453726e-13,5.3678249847779667e-17
2022-05-04 09:00:00,2842.980551821162,3.867456634841463e-13,8.765145154681635e-17
2022-05-04 10:00:00,2831.7103849481537,4.1834517189477223e-13,1.79799963708766e-16
2022-05-04 11:00:00,2864.6632414677265,6.318343132223773e-13,1.074875800946047e-16
2022-05-04 12:00:00,2867.3020013567852,7.047194187197857e-13,2.266776197758418e-16
2022-05-04 13:00:00,2860.7558821117436,1.5093495454322814e-12,4.504871993502534e-16
2022-05-04 14:00:00,2838.342524428237,7.650014901628182e-13,3.391915199080881e-16
2022-05-04 15:00:00,2839.004827544873,1.9652775964222027e-13,6.696008700307494e-17
2022-05-04 16:00:00,2845.2813125137013,3.499130516657014e-13,1.0319279820574993e-16
2022-05-04 17:00:00,2856.089231024835,5.509664202346377e-13,1.5155415699161465e-16
2022-05-04 18:00:00,2860.816708307693,5.369339554823706e-13,1.7070652048737291e-16
2022-05-04 19:00:00,2935.0557589635305,4.044914065818395e-12,9.065120387647987e-16
2022-05-04 20:00:00,2955.2166738609308,1.3820513007925068e-12,3.9543151435586344e-16
2022-05-04 21:00:00,2944.150518790017,4.949837957120964e-13,1.9715285442995731e-16
2022-05-04 22:00:00,2932.838920515036,6.901539256438122e-13,2.586423864204059e-16
